#{"t_start": 1764660792.2446072, "env_id": "None"}
r,l,t
-237.0,256,209.182307
-1.970261,16,209.327601
-201.0,256,209.501762
-221.0,256,209.58571
-219.0,256,210.214991
-191.40019,216,210.327871
-218.0,256,210.715867
-236.0,256,210.869894
-212.0,256,211.009035
-210.0,256,211.146646
-232.0,256,211.502879
0.99412334,4,211.647603
-223.0,256,212.124734
-244.0,256,212.193233
-214.0,256,212.337075
-0.00981378,6,212.337123
0.98623335,8,212.580372
-215.0,256,212.662578
-0.9802742,11,213.012792
-234.0,256,213.426658
-221.0,256,213.53108
-214.0,256,213.626143
-195.75,241,213.819975
-236.0,256,213.937552
-230.0,256,214.106906
-233.0,256,214.666344
-235.0,256,214.713281
-220.0,256,214.713363
-234.0,256,214.917985
-208.0,256,214.966598
-220.0,256,215.02256
-233.0,256,215.071939
-201.0,256,215.385545
-224.0,256,215.788477
-0.97427857,14,215.876734
-196.0,256,216.016549
-0.98623335,8,216.106204
-131.59293,167,216.621088
-212.0,256,216.908282
-178.4507,205,217.54365
-207.0,256,217.703862
-230.0,256,217.834955
-238.0,256,217.999859
-228.0,256,218.075051
-217.0,256,218.694392
-238.0,256,218.811095
-228.0,256,219.301504
-206.0,256,219.548604
-200.0,256,220.005294
-179.51993,198,220.41908
-226.0,256,220.551157
-157.54843,180,220.602569
-0.9901862,6,220.6644
-244.0,256,220.760748
-157.5625,176,220.760798
-228.0,256,221.020198
-235.0,256,221.4221
-235.0,256,221.842852
-219.0,256,221.944057
-221.0,256,222.047687
-220.0,256,222.248544
-199.0,256,222.486676
-212.0,256,223.037534
-228.0,256,223.086183
-233.0,256,223.267498
-213.0,256,223.344479
-222.0,256,223.392696
-222.0,256,224.106593
-226.0,256,224.264638
-208.0,256,224.355316
-238.0,256,224.87073
-0.96420306,19,224.925506
-234.0,256,225.1959
-196.70026,234,225.352823
-12.92913,36,225.599704
-237.0,256,225.927107
-212.0,256,226.207336
-226.0,256,226.375693
-228.0,256,226.44888
0.99412334,4,226.591133
-235.0,256,227.094072
-223.0,256,227.210649
-230.0,256,227.68985
-45.116116,57,227.771196
-222.0,256,227.988269
-235.0,256,228.454092
-210.0,256,228.964023
-228.0,256,229.00944
-184.0,256,229.062371
-236.0,256,229.153111
-218.0,256,229.153169
-205.0,256,229.412784
-0.027728176,15,229.62663
-241.0,256,229.815487
-225.0,256,230.230335
-227.0,256,230.336217
-230.0,256,230.449034
-208.0,256,230.663581
-215.0,256,230.893844
-82.21688,100,230.974009
-215.0,256,231.482637
-220.0,256,231.539013
0.99608606,3,231.652952
-205.0,256,231.775454
-216.0,256,231.867181
-223.0,256,231.914242
-224.0,256,232.635202
-113.71261,127,233.194665
-235.0,256,233.31781
-237.0,256,233.369021
-232.0,256,233.641768
-231.0,256,233.781589
-217.0,256,234.024404
-209.0,256,234.605969
-230.0,256,234.779079
-208.0,256,234.987926
0.98425096,9,235.292405
-219.0,256,235.523988
-209.0,256,235.633233
-212.25769,240,235.891425
-54.175568,83,236.137298
-230.0,256,236.252797
-209.0,256,236.893623
-169.47708,187,237.155518
0.99608606,3,237.25973
-219.0,256,237.459331
-229.0,256,237.544802
-228.0,256,237.639732
-240.0,256,237.933381
0.9901862,6,238.143876
-228.0,256,238.194665
-207.0,256,238.396628
-211.0,256,238.859408
-1.9682459,17,238.970479
-187.0,256,238.970536
-199.0,256,239.077738
-222.0,256,239.264564
-208.0,256,239.490107
-216.0,256,240.061194
-228.0,256,240.211873
-237.0,256,240.31783
-225.0,256,240.401449
-228.0,256,240.449784
-0.9822646,10,240.602066
0.96824586,17,240.958663
-224.0,256,241.202317
-225.0,256,241.788598
-230.0,256,241.892685
-236.0,256,242.169513
-244.0,256,242.327261
-0.9901862,6,242.417921
-216.0,256,242.603166
-240.0,256,243.184644
-228.0,256,243.34689
-236.0,256,243.822247
-208.0,256,244.068257
-242.0,256,244.187712
-188.0,256,244.458956
-85.26579,119,244.511172
-238.0,256,244.735921
-200.0,256,244.848538
-235.0,256,245.464656
-244.0,256,245.800674
-236.0,256,245.994436
-185.59016,214,245.994487
-208.0,256,246.066482
-93.76291,108,246.116651
-226.0,256,246.16686
-230.10825,254,246.579796
-217.0,256,246.694782
-227.0,256,247.329381
-219.0,256,247.432384
-214.0,256,247.544428
-209.0,256,247.742505
-228.0,256,247.976573
-216.0,256,277.183138
-220.0,256,277.397242
-236.0,256,277.513104
-220.0,256,277.972241
-208.0,256,278.211533
0.99215674,5,278.397562
-217.0,256,278.813275
-216.0,256,278.929454
-37.15915,76,279.051363
-212.0,256,279.358862
-219.0,256,279.427495
-48.125,61,279.945902
-223.0,256,280.179181
-235.0,256,280.337578
-213.0,256,280.761948
-216.0,256,280.981608
-225.0,256,281.081494
-102.70711,129,281.261023
-223.0,256,281.360683
-226.0,256,281.415893
-184.39032,218,281.519819
-223.0,256,281.624624
-0.99608606,3,281.624693
-218.0,256,281.733644
-0.9901862,6,281.849228
-194.0,256,282.376309
-236.0,256,282.877691
-240.0,256,282.877739
-229.0,256,282.960061
-215.0,256,283.00824
-230.0,256,283.061408
-0.9822646,10,283.261744
-230.0,256,283.463737
-214.0,256,283.586653
-208.0,256,284.154711
-234.0,256,284.250205
-230.0,256,284.357657
-183.0,256,284.547118
-216.0,256,285.437349
-210.0,256,285.536175
-200.0,256,286.351996
-216.0,256,286.766336
-219.0,256,286.861844
-218.0,256,286.966039
0.98821175,7,287.012843
-210.0,256,287.289081
-222.0,256,287.354884
-92.6875,136,287.641297
-220.0,256,287.902947
-198.0,256,288.138964
-228.0,256,288.323242
-38.11391,56,288.695073
-207.0,256,288.797417
-210.0,256,289.012258
-0.9802742,11,289.061375
-224.0,256,289.146233
-216.22534,244,289.249729
-240.0,256,289.32936
-226.0,256,289.435508
-213.0,256,289.4937
-0.99215674,5,289.670803
-213.0,256,289.802497
-158.60472,217,289.876455
-219.0,256,289.934525
-187.0,256,290.458986
-228.0,256,290.930245
-155.0,256,290.996877
-152.0,256,291.067004
-197.0,256,291.24999
-221.0,256,291.438659
-0.98821175,7,291.494825
-0.97827977,12,291.846836
0.9762812,13,291.923488
-222.0,256,292.204504
-229.0,256,292.307226
-214.0,256,292.410281
-227.0,256,292.585136
-0.9662266,18,292.793249
-204.0,256,293.550899
-229.0,256,293.665534
-224.0,256,294.466343
-0.9662266,18,294.97949
-231.0,256,295.055303
-212.0,256,295.102013
-201.0,256,295.398044
-241.0,256,295.46929
0.9802742,11,295.469337
-227.0,256,295.762464
-163.51993,198,295.815526
-195.0,256,296.051107
0.9762812,13,296.233557
-225.0,256,296.310829
-205.0,256,296.470749
0.97827977,12,296.630871
-217.0,256,296.938195
-0.96217525,20,296.93827
-201.0,256,297.16974
-230.0,256,297.218519
-213.0,256,297.298184
-230.0,256,297.415328
-199.0,256,297.491578
-167.0,256,297.604072
-53.863766,66,297.737988
-211.0,256,297.93057
-220.0,256,298.015257
-214.0,256,298.073692
-216.0,256,298.600203
-223.0,256,299.074471
-222.0,256,299.141836
-209.0,256,299.212394
-234.0,256,299.887848
-221.0,256,299.96276
-233.0,256,300.335554
-2.9762812,13,300.385248
-210.0,256,300.454598
-218.0,256,300.633867
-115.403786,166,300.747907
-232.0,256,300.837012
